DATA,CONFIRMADOS,EM ACOMPANHAMENTO,RECUPERADOS,Ã“BITOS
2020-05-15,1088,,,29
2020-05-18,1189,156,1002,31
2020-05-19,1249,155,1061,33
2020-05-20,1249,,,35
2020-05-21,1316,187,1090,36
2020-05-22,1351,,,39
2020-05-25,1444,275,1127,42
2020-05-26,1534,280,1211,43
2020-05-27,1570,290,1237,43
2020-05-28,1674,295,1333,46
2020-05-29,1766,,,48
2020-06-01,1882,452,1381,49
2020-06-02,1912,458,1403,51
2020-06-03,2129,489,1589,51
2020-06-04,2144,474,1615,55
2020-06-05,2304,461,1786,57
2020-06-08,2514,497,1958,59
2020-06-09,2549,545,1942,62
2020-06-10,2832,587,2183,62
2020-06-12,3094,600,2428,66
2020-06-15,3487,608,2812,67
2020-06-16,3489,642,2770,77
2020-06-17,3548,622,2844,82
2020-06-18,3810,,,86
2020-06-19,3879,465,3324,90
2020-06-22,4428,737,3595,96
2020-06-23,4667,767,3804,96
2020-06-24,4772,869,3799,104
2020-06-25,4977,949,3910,118
2020-06-26,5195,1047,4027,121
2020-06-29,5510,1094,4287,129
2020-06-30,5915,1307,4472,136
2020-07-01,6571,1549,4878,144
2020-07-02,7144,2138,4848,158
2020-07-03,7561,2458,4934,169
2020-07-06,8273,2124,5972,177
2020-07-07,8744,2294,6290,190
2020-07-08,9361,2447,6713,201
2020-07-09,9978,2832,6922,224
2020-07-10,10618,2848,7522,248
2020-07-13,10618,,,270
2020-07-14,12123,2972,8863,288
2020-07-15,12231,3071,8863,297
2020-07-16,13559,3240,9999,320
2020-07-17,13700,3063,10308,329
2020-07-20,14001,2893,10795,343
2020-07-21,14089,2708,11003,378
2020-07-22,15051,1386,13266,399
2020-07-23,16100,1428,14255,417
2020-07-24,16670,,,432
2020-07-27,18197,3290,14449,458
2020-07-28,18415,3215,14718,482
2020-07-29,19112,3189,15441,482
2020-07-30,20276,3444,16334,498
2020-07-31,20594,3458,16608,528
2020-08-03,21072,2971,17549,552
2020-08-04,22411,3295,18511,605
2020-08-05,22676,3156,18905,615
2020-08-06,24115,3443,20035,637
2020-08-07,24436,3334,20450,652
2020-08-10,24536,2015,21850,671
2020-08-11,26440,3226,22490,724
2020-08-12,26886,3205,22940,741
2020-08-13,27485,3185,23542,758
2020-08-14,27953,3156,23989,808
2020-08-17,28649,3058,24778,813
2020-08-18,29273,3028,25406,839
2020-08-19,29690,3059,25776,855
2020-08-20,30305,3036,26396,873
2020-08-21,30841,2931,26674,876
2020-08-24,31461,3044,27534,883
2020-08-25,31840,2989,27959,892
2020-08-26,32303,3023,28367,913
2020-08-27,32721,3051,28726,944
2020-08-28,33092,3055,29069,968
2020-08-31,33657,2825,29853,979
2020-09-01,34121,2783,30334,1004
2020-09-02,34530,2771,30738,1021
2020-09-03,34962,2763,31155,1044
2020-09-04,35319,2688,31574,1057
2020-09-08,35983,2593,32318,1072
2020-09-09,36351,2554,32718,1079
2020-09-10,36848,2572,33180,1096
2020-09-11,37123,2574,33445,1104
2020-09-14,37801,2621,34059,1121
2020-09-15,38166,2652,34378,1136
2020-09-16,38629,2673,34810,1146
2020-09-17,38978,2713,35113,1152
2020-09-18,39321,2720,35441,1160
2020-09-21,39379,2384,35827,1168
2020-09-22,39467,2270,36025,1172
2020-09-23,39538,2139,36207,1192
